timestep,episode_reward
856096,424.711146
857288,441.376555
857592,429.215839
857736,429.875745
858680,431.838158
860080,425.537264
860264,440.363175
861816,434.488274
861888,433.282184
863408,436.000296
863656,434.905054
863896,440.373389
864304,427.238649
865456,426.03555
866176,434.647746
867720,433.475466
867784,431.817381
869392,429.2394
869504,439.873741
869776,431.119448
870000,427.931918
871648,441.464672
872408,433.93864
873408,429.286683
873712,429.858424
875152,423.913012
875152,431.403937
875576,431.839076
875904,432.547245
877280,427.80456
878040,426.880929
878968,421.624197
879256,422.373122
880704,424.847944
881056,420.74246
881160,431.150547
882088,435.054582
882984,428.247952
883488,421.9034
884808,426.203316
884968,437.661245
886544,429.183896
886960,437.637184
887432,434.641105
887816,428.561603
888552,421.988565
889288,434.184938
890104,424.081866
890752,428.622012
892408,428.542319
892904,429.245042
893064,437.851777
893560,432.719296
894496,434.533245
894944,428.495863
895728,433.765981
896216,424.681459
898312,437.00981
898776,439.314771
898936,429.711281
899752,440.090584
900440,434.11489
900992,433.713278
901552,426.454357
902312,435.415147
903672,419.999353
904552,432.001059
904728,430.184663
906088,433.647628
906528,425.475988
906560,434.488026
907456,431.931751
908432,434.486813
909264,425.478212
910608,435.000252
910672,439.816439
911544,426.254381
912208,430.458918
912576,438.906403
913472,428.278239
914312,438.834392
915424,433.349002
916344,427.518746
916600,436.20309
917424,435.805475
917896,428.015035
918256,429.455991
919584,425.473921
919672,433.247182
921248,432.282687
921656,427.61544
921912,424.906826
923040,423.505125
923360,425.992975
923864,430.507805
925400,429.491231
925424,432.793594
926864,430.758548
927216,420.395946
927592,427.327511
928752,425.139963
929152,435.562794
929424,428.647344
931008,428.249215
931320,431.818166
932744,434.519748
932976,430.816325
933120,428.580317
934512,428.848966
935008,429.510537
935600,439.456521
936928,427.94652
937288,435.434993
938384,431.955202
938992,430.335373
939032,429.063937
940192,426.360371
941112,436.18038
941408,431.711464
942320,424.258029
943088,430.265385
944456,438.307644
944976,434.532793
945288,440.182248
945872,429.408686
946888,433.115867
947008,421.486582
948032,435.426599
948648,429.974213
950448,435.803383
950536,425.835578
950936,424.252321
951424,427.382004
952704,431.199975
952896,434.282855
953544,417.627703
954320,424.795392
